"panel","construct","group","r2_orig","r2_repro_2dp","r2","n","n_orig","diff","match_2dp","within_01"
"2000-02","Policy Views","High",0.3,0.5,0.499667380067774,280,NA,0.2,FALSE,FALSE
"2000-02","Policy Views","Highest",0.3,0.44,0.437142084298356,218,NA,0.14,FALSE,FALSE
"2000-02","Ideology ID","Full",0.38,0.38,0.384714181791763,564,564,0,TRUE,TRUE
"2000-02","Ideology ID","Lowest",0.04,0.04,0.0390136345227917,98,NA,0,TRUE,TRUE
"2000-02","Ideology ID","Middle",0.37,0.37,0.374783798734078,177,NA,0,TRUE,TRUE
"2000-02","Ideology ID","High",0.46,0.47,0.467275669107757,162,NA,0.00999999999999995,FALSE,TRUE
"2000-02","Ideology ID","Highest",0.61,0.61,0.612366123661237,126,NA,0,TRUE,TRUE
"2000-02","Partisanship","Full",0.71,0.72,0.718643968167731,1152,1165,0.01,FALSE,TRUE
"2000-02","Partisanship","Lowest",0.56,0.59,0.586031986170166,203,NA,0.0299999999999999,FALSE,FALSE
"2000-02","Partisanship","Middle",0.69,0.68,0.681555157822774,384,NA,-0.0099999999999999,FALSE,TRUE
"2000-02","Partisanship","High",0.77,0.77,0.774528706458987,314,NA,0,TRUE,TRUE
"2000-02","Partisanship","Highest",0.76,0.76,0.764480348024071,249,NA,0,TRUE,TRUE
